Length,Make,Model,Price,Year,Class
42,Hunter,Passage Center Cockpit,112000,1997,Sailboat
37,Express,37 MK II,67500,1988,Sailboat
31,Catalina,310,54000,2001,Sailboat
30,C & C  Hinterholler Ltd,Redwing 30,16500,1969,Sailboat
28,Mariner,28',13500,1979,Sailboat
28,Pearson,2,9000,1978,Sailboat
28,Marine Concepts,Sea Pearl 28,17000,1993,Sailboat
28,Ericson,28,19500,1985,Sailboat
28,Irwin,28,7500,1973,Sailboat
27,Catalina,C27-tall rig,8900,1973,Sailboat
27,Catalina,27,9100,74,Sailboat
27,Catalina,27,8500,1978,Sailboat
27,Catalina,,9500,1978,Sailboat
26,1976,Contessa 26 w/ trailer,8500,1976,Sailboat
26,Clark,San Juan 7.7,12000,1980,Sailboat
26,Costal Recreation,26' Balboa,15000,1976,Sailboat
26,MacGregor,Classic,7900,1992,Sailboat
26,Macgregor,26S,10000,1995,Sailboat
25,CapriCatalina,Capri,6900,1984,Sailboat
25,Catalina,250 Mark 11,23000,2006,Sailboat
25,Hunter,Hunter Cherubini 25,2950,1977,Sailboat
25,Coronado,25,3900,1967,Sailboat
25,Catalina,250 Water Ballast,16500,,Sailboat
25,Mcgregor,,6000,1981,Sailboat
24,J boats,J 24,6500,1980,Sailboat
24,Sovereign,Princess,9500,1990,Sailboat
24,adventure 24,24 trimaran,6000,2015,Sailboat
24,j boats,j24,12000,1983,Sailboat
23,Dick Newick,Tremolino,6000,,Sailboat
23,Ranger,23,8200,1976,Sailboat
23,Tremolino,Tremolino,10000,1995,Sailboat
23'4,WD Shock Corp,Santana 2023-A,7900,1993,Sailboat
23,Clark Boats,San Juan 23,6000,1980,Sailboat
22.5,Pearson,Ensign,7500,1973,Sailboat
22,Macgregor,,2000,1982,Sailboat
22,Catalina,Capri 22,16900,2005,Sailboat
22,Catalina,c22,2000,1976,Sailboat
20,Marieholm,MS-20,6200,1975,Sailboat
20,Marieholmes Bruk,MarieHolme MS-20,5000,1976,Sailboat
18,Laguna,Windrose,2200,1982,Sailboat
18,Watershed Sailboats,i550,150,,Sailboat
18,Gulf Coast,1972,1000,72,Sailboat
18,Bimare,Javelin 2,5000,2003,Sailboat
18,Renkin,18' Tangerine,3800,1984,Sailboat
18'6',Hobie,Tandem Island,6349,2016,Sailboat
18',Cape Dory,Typhoon Weekender,4500,1978,Sailboat
18,Renken,Tangerine,1400,1984,Sailboat
18,,Thistle,0,1945,Sailboat
17,O'Day,daysailor,1000,1963,Sailboat
17,Helton Marine,Solo II,4200,95,Sailboat
16,Hobie Cat,BOA,1600,1980,Sailboat
16'7,Hobie,16,1100,1976,Sailboat
16,Phoenix,Snipe,600,1981,Sailboat
15.5,Lofland,Snipe,1250,1969,Sailboat
14'6,Koralle,15,3900,1960,Sailboat
14,cape dory,14 93,2000,1967,Sailboat
14,Com-pac,Picnic,7900,2001,Sailboat
14,penobscot,14,6450,2014,Sailboat
12,Rumba,Escape,900,,Sailboat
26,Hunter,H26,14900,1994,Sailboat
25,Catalina,250,19000,1997,Sailboat
22,hunter,22,17500,2013,Sailboat
22,Tige,21ZX,0,2020,Ski and Wakeboard
23,Tige,23RZX,0,2020,Ski and Wakeboard
24,ATX Surf Boats,24 Type-S,0,2020,Ski and Wakeboard
22,ATX Surf Boats,22 Type-S,0,2020,Ski and Wakeboard
32,Baja,320,37800,1991,High Performance
23,Tige,23ZX,0,2020,Ski and Wakeboard
25,Tige,25ZX,0,2020,Ski and Wakeboard
20,Tige,20RZX,0,2020,Ski and Wakeboard
22,Tige,RZX2,109900,2018,Ski and Wakeboard
22,Tige,22RZX,0,2020,Ski and Wakeboard
27,Regency,254 DL3,49925,2018,Pontoon
22,Tige,RZ2,94900,2018,Ski and Wakeboard
24,Hake / Seaward,Seaward 24',14950,1987,Cruisers
21,Thunder Jet,Alexis Classic,36900,2001,Jet
26,Sea Ray,268 Sundancer,9900,1989,Cruisers
17,Lund,Wc 16 Dlx,4500,1984,Freshwater Fishing
19,Sanger,Dlx 20,12000,1998,Ski and Wakeboard
23,Nautique,G23,0,2021,Ski and Wakeboard
24,Bennington,24R Bowrider,0,2021,Pontoon
23,Nautique,G23,0,2020,Ski and Wakeboard
24,Malibu,Wakesetter 24 MXZ,102999,2015,Ski and Wakeboard
21,Sea Ray,205 Sport,20000,2011,Runabout
21,Larson,Lxi,12800,2002,Ski and Wakeboard
20,Axis,A20,0,2021,Ski and Wakeboard
20,Axis,A20,0,2021,Ski and Wakeboard
23,Malibu,Wakesetter Lsv 23,0,2021,Ski and Wakeboard
22,Malibu,22 LSV,0,2021,Ski and Wakeboard
22,Axis,T22,0,2021,Ski and Wakeboard
23,Malibu,23 MXZ,0,2021,Ski and Wakeboard
22,Axis,A22,0,2021,Ski and Wakeboard
21,Malibu,21 MLX,0,2021,Ski and Wakeboard
23,Axis,T23,0,2021,Ski and Wakeboard
24,Axis,A24,0,2021,Ski and Wakeboard
24,Malibu,24 MXZ,0,2021,Ski and Wakeboard
23,Malibu,Wakesetter Lsv 23,0,2021,Ski and Wakeboard
22,Axis,A22,0,2021,Ski and Wakeboard
23,Malibu,Wakesetter Lsv 23,0,2021,Ski and Wakeboard
20,Axis,A20,0,2021,Ski and Wakeboard
23,Malibu,Wakesetter Lsv 23,0,2021,Ski and Wakeboard
23,Malibu,23 MXZ,0,2021,Ski and Wakeboard
22,Malibu,22 MXZ,67650,2012,Ski and Wakeboard
26,Supra,SE 550,147000,2018,Ski and Wakeboard
24,Malibu,24 MXZ,0,2021,Ski and Wakeboard
23,Malibu,Wakesetter Lsv 23,0,2021,Ski and Wakeboard
23,Malibu,Wakesetter Lsv 23,0,2021,Ski and Wakeboard
24,Axis,A24,0,2021,Ski and Wakeboard
22,Malibu,22 LSV,0,2021,Ski and Wakeboard
25,Tahiti,Caribbean Day Cruiser,20500,1983,Cuddy Cabin
25,Mastercraft,X-46,95000,2014,Ski and Wakeboard
21,Wellcraft,218ccf,16750,1995,Center Console
23,Malibu,Wakesetter 23 LSV,70000,2013,Ski and Wakeboard
28,Four Winns,285 Express,28500,1993,Express Cruiser
8,Custom,Zamco Aqua Lark,3500,1992,Runabout
28,Bayliner,2855 Ciera,21250,1993,Express Cruiser
24,Four Winns,241 Liberator,10500,1989,High Performance
28,Sea Ray,260 Sundancer,21096,2005,Cruisers
21,Four Winns,H210,25000,2008,Ski and Wakeboard
20,Beachcomber,20 Cruise,17000,2008,Pontoon
48,Sea Ray,480 /500 Sundancer,99000,1991,Express Cruiser
18,Landau,192 Island Breeze Cruise Basic,0,2021,Pontoon
22,Landau,2200 Signature Cruise Tri-Log,0,2021,Pontoon
23,Supra,SL 550,125999,2018,Ski and Wakeboard
21,Moomba,Mondo,0,2021,Ski and Wakeboard
21,Moomba,Kaiyen,0,2021,Bowrider
23,Landau,230 Atlantis Sport Cruise â€“ Rear Lounge Tri-Log,0,2021,Pontoon
20,Landau,212 Aâ€™Lure Fishing Tri-Log,0,2021,Pontoon
20,Bayliner,2050 Capri,6995,1994,Bowrider
22,Glastron,GTD 225 FWD,0,2021,Pontoon
22,Landau,220 Atlantis Cruise Sport Rear Lounge Tri-Log,0,2021,Pontoon
22,Landau,232 Island Breeze Rear Fish Tri-Log,0,2021,Pontoon
25,Landau,252 Island Breeze Sport Cruise â€“ Swingback Lounge Tri-Log,0,2021,Pontoon
25,Montara,SURF BOSS 25,0,2020,Pontoon
23,Moomba,Max,0,2021,Ski and Wakeboard
25,Supra,SE 550,113999,2017,Ski and Wakeboard
22,Landau,224 Aâ€™Lure Fishing Tri-Log,0,2021,Pontoon
23,Landau,2300 Signature Cruise,0,2020,Pontoon
18,Glastron,GT 185,0,2020,Bowrider
25,Landau,252 Island Breeze Rear Lounge Tri-Log,0,2021,Pontoon
24,Moomba,Makai,0,2021,Ski and Wakeboard
19,Landau,192 Aâ€™Lure Fishing Basic,0,2020,Pontoon
24,Supra,SG 550,108999,2016,Ski and Wakeboard
22,Landau,232 Island Breeze Rear Fish Tri-Log,0,2020,Pontoon
24,Supra,SE 550,135999,2019,Ski and Wakeboard
